Lat_norm,Lon_norm,KMeans_Cluster,DBSCAN_Cluster
0.2858156461205221,-0.734239726807511,0,0
1.3365536307994657,-0.7670771679401656,5,1
-1.0235432159907445,-0.5799331914964434,3,2
-1.269292991267931,0.33699268849424946,3,2
-1.6745678179855006,2.295688395549716,1,3
1.5133199449546737,-1.4953179966718777,4,4
0.6888425993834618,0.30017764356116416,2,5
0.26734859654097554,-1.383432956931968,0,0
1.165730373025667,0.31997843255365904,5,1
0.11210578138254933,-0.14996827060471368,2,5
1.932762246814073,-0.6249461128394457,5,1
-0.41865717578320427,-0.2629916704538585,3,2
1.211445337382841,-1.8504430575443216,4,4
1.0089322768741646,0.3154006185277578,5,1
-1.2595433105022948,1.0763386428602348,1,3
-1.1899077433568674,2.123422725434078,1,3
0.26633649322421227,-0.5239492924194559,0,0
1.9792181637149968,-0.36889903234276844,5,1
-1.019923460958486,1.3935118061603908,1,3
-0.1580071116088532,0.8705538163747264,2,5
1.227741520742276,-1.210734253329892,4,4
1.4254815967693721,-1.4898175601381725,4,4
0.5616469142055839,-0.32959959201426076,0,0
-1.4392723166138712,0.17898026663149233,3,2
-1.4369385708703728,1.4326341272223875,1,3
1.370700586829525,0.16157989509388954,5,1
0.2621380196020701,0.4792581794388256,2,5
1.2458083863187763,-0.201211142377417,5,1
-1.6475207214750862,2.3161540635408717,1,3
0.4206602477890413,0.686415633660553,2,5
-0.47635617198247104,-0.6153532507100486,0,0
-0.2005326853170143,0.7748944224647103,2,5
0.4419480101181722,-0.7025946098259436,0,0
0.35343907647880685,0.6625659663264475,2,5
0.38143745442438237,-1.788182815222523,4,4
-0.8354187382225701,0.6569799427548535,1,3
0.49839465887371553,0.6319968442306733,2,5
1.1552894601057804,0.21838875294236115,5,1
0.5065230722077725,-0.7472704845699986,0,0
-1.165349951815018,1.8554853475794861,1,3
-0.7642700711427148,0.4583433531127532,3,2
-0.4239740526787164,0.7438657591218637,2,5
0.5742251928928847,-1.3314268310344481,4,4
-0.8495485512932951,0.09455337110901141,3,2
0.6040708683370214,0.7498552596033409,2,5
1.042058033972509,0.037960623494937354,5,1
-0.5342724254185286,1.3712970494201548,1,3
0.7418160719970802,-2.1829398067362273,4,4
-1.10293953080978,0.04250943989397329,3,2
0.2485627854282973,0.13627248724620855,2,5
1.1938373450054658,-1.9996080019542024,4,4
-1.3584452811565322,1.9282140719599026,1,3
0.49982233611232474,0.7067929706793947,2,5
0.6561698592455375,0.660358284850638,2,5
0.8593224948098308,-1.132290930035842,4,4
-0.3598404795204431,-0.09298686671361274,3,2
0.3540963355312496,0.6718436317042517,2,5
0.14902964365159038,-0.813846495190555,0,0
1.0655869834993172,-0.35899065164259564,5,1
-0.43475557274696747,1.2946488181198827,1,3
0.2906551819141199,-1.0125324248368421,0,0
-0.518305447986737,-0.23980777982497364,3,2
0.04934012415988622,-0.101237301322193,2,5
1.130566310514201,-0.10500350361528904,5,1
0.029385336310113225,-0.3738331682593421,0,0
-0.09945003808993066,0.8110346289339688,2,5
1.5058830980876985,-0.533312172201942,5,1
-1.0499837306647526,0.18652793223497702,3,2
