,Missing_Count,Missing_Percent
Location Description,2652,0.44200000000000006
X Coordinate,2332,0.38866666666666666
Location,2332,0.38866666666666666
Y Coordinate,2332,0.38866666666666666
Longitude,2332,0.38866666666666666
Latitude,2332,0.38866666666666666
Ward,2,0.0003333333333333333
Community Area,1,0.00016666666666666666
