Lat_norm,Lon_norm,Hierarchical_Cluster
0.07892317957261041,0.6199057654071237,0
-1.631507954711601,2.2751353112314554,0
0.5445612798838425,-1.4350960910398078,1
0.448187936305442,0.6853055259120101,4
0.34470421964486825,0.6785334113243524,4
1.6141013186686537,-1.9377552846920936,1
1.1091484197923032,-1.5515361972517043,1
0.11907310315134628,0.7250049031365009,0
0.40879480478255154,0.686908068243429,4
1.805494061861068,-0.5318132896113594,2
1.0955396966939037,-1.9296194347482674,1
1.427921446492925,0.12378743365581836,2
-0.5511046390760388,1.4288429923904014,0
-1.310824618305183,2.0562106471254835,0
0.7820100672311514,-0.34338913230524987,5
-0.6190832018996008,-0.8081528992310179,3
-0.6884399751886887,-0.40648663028954285,3
-1.017185300425354,1.4110029477229966,0
1.0722977374520408,0.39328050370387363,2
0.7214102154237653,-1.3633613483975324,1
-0.7066741355238083,-0.923973147292512,3
1.793526791773395,-0.08393157858060368,2
0.128558423153151,-0.8130785662145308,5
-1.0034064236171223,1.3928621204280336,0
-1.6636455060975226,2.3805527453416486,0
0.2247463153270782,0.49421069055827604,4
0.8909077037364711,-0.18113634952387897,5
0.756156398407616,-0.2836582215374934,5
0.8133312612347808,-1.35988873013846,1
-0.9763355563107391,-0.04459075904506319,3
1.3642603496082018,-1.7597426643382992,1
1.3990890963365756,-0.8081656703820792,2
0.30979192928937344,-0.3123029479689645,5
-1.020060644505004,1.7899503551512688,0
0.6604095570998728,-1.6485286351045076,1
-0.46748822405224083,0.22384931773930702,0
0.615481323090153,-0.2038088859729604,5
1.6845813600593122,-0.2155585312904047,2
1.0989315425904005,-2.5738222952406473,1
1.1424729546967418,-1.3433304923687288,1
1.1555704212315285,0.2507696847059368,2
0.7217111315679776,-1.3315597594080308,1
0.44834832577465994,0.6088606845088573,4
-2.034402808288917,0.4476964814478579,0
1.85128778571325,0.037849172335502286,2
-0.6724093630361202,0.8630055071321538,0
-0.037144683542122164,-0.7027797068272957,5
-0.41490962102017215,0.9638921636706436,0
