Algorithm,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,N_Clusters
KMeans,0.44955054599584277,0.8297415836890931,54619.93313995268,2
DBSCAN,0.553085144238765,0.3510422716336263,2166.886740013536,2
Hierarchical,0.3880318479588144,0.9765324243868566,4673.658225193837,3
